"Attribution: Attribution Number","Opportunity: Opportunity Name","Opportunity: Account Name","Partner Net ARR (converted) Currency","Partner Net ARR (converted)","Opportunity: Net ARR Atlas (Commission) Currency","Opportunity: Net ARR Atlas (Commission)","Opportunity: Net ARR Non-Atlas (Commission) (converted) Currency","Opportunity: Net ARR Non-Atlas (Commission) (converted)","Opportunity: zzDeprecate-Owner Area Group","Opportunity: zzDeprecate-Owner Regional Group","Partner","Split %","Role","Opportunity: Close Date","Opportunity: Fiscal Period","Opportunity: Stage","Status","Attribution: Created Date","Opportunity: Created Date"
"A-0559165","Cognizant Technology Solutions India Pvt. Ltd. Project IOT - Renewal - Run Rate - FY27-Q2","Cognizant Technology Solutions India Pvt. Ltd.","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Cognizant Technology Solutions Asia Pacific Pte Ltd.","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0593243","Cognizant Technology Solutions India Pvt. Ltd. Cognizant - Renewal","Cognizant Technology Solutions India Pvt. Ltd.","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Cognizant Technology Solutions Asia Pacific Pte Ltd.","15.00","Influencing","2/28/2026","Q1-2027","Scope","Pending Approval","10/10/2025","2/4/2025"
"A-0604476","Cognizant Technology Solutions India Pvt. Ltd. Project IOT - Renewal - Run Rate - FY27-Q3","Cognizant Technology Solutions India Pvt. Ltd.","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Cognizant Technology Solutions Asia Pacific Pte Ltd.","35.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0644690","Cognizant Technology Solutions India Pvt. Ltd. Project IOT - Renewal - Run Rate - FY27-Q4","Cognizant Technology Solutions India Pvt. Ltd.","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Cognizant Technology Solutions Asia Pacific Pte Ltd.","35.00","Strategic","1/31/2027","Q4-2027","Elastic Forecast","Approved","2/2/2026","2/2/2026"
"A-0622469","Cognizant Technology Solutions (Formerly known as Trizetto Corporation) ITO Upfront Commitment Proje - Renewal","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","35.00","Strategic","10/14/2026","Q3-2027","Research","Pending Approval","11/4/2025","11/4/2025"
"A-0630966","Pepsico | B2B PepsiConnect","PepsiCo, Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","South Central 1","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","35.00","Strategic","2/27/2026","Q1-2027","Closed Won","Approved","12/11/2025","7/10/2025"
"A-0636181","Cognizant Technology Solutions (Formerly known as Trizetto Corporation) trizetto - Renewal 2025 - Run Rate - FY27-Q2","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Approved","1/13/2026","8/2/2025"
"A-0636182","Cognizant Technology Solutions (Formerly known as Trizetto Corporation) trizetto - Renewal 2025 - Run Rate - FY27-Q3","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","35.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Approved","1/13/2026","11/2/2025"
"A-0640549","SnapLogic Snaplogic - Atlas Migration - Renewal - Run Rate - FY27-Q1","SnapLogic","USD","0.00","USD","886814.63","USD","0.00","NAMER","NorCal 2","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","0.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Rejected","1/29/2026","5/2/2025"
"A-0640550","SnapLogic - Atlas Migration - Renewal 2026 - Run Rate - FY27-Q2","SnapLogic","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 2","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","0.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Rejected","1/29/2026","8/2/2025"
"A-0640551","SnapLogic - Atlas Migration - Renewal 2026 - Run Rate - FY27-Q3","SnapLogic","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 2","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","0.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Rejected","1/29/2026","11/2/2025"
"A-0640617","Toyota Motor Sales, U.S.A., Inc. 24MM, TMNA - Cube Data Core Mainframe Mod - Renewal - Run Rate - FY27-Q1","Toyota Motor Sales, U.S.A., Inc.","USD","0.00","USD","-244253.75","USD","0.00","NAMER","South Central 2","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","0.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Rejected","1/29/2026","5/2/2025"
"A-0640618","Toyota Motor Sales, U.S.A., Inc. 24MM, TMNA - Cube Data Core Mainframe Mod - Renewal - Run Rate - FY27-Q2","Toyota Motor Sales, U.S.A., Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","South Central 2","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","0.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Rejected","1/29/2026","8/2/2025"
"A-0640619","Toyota Motor Sales, U.S.A., Inc. 24MM, TMNA - Cube Data Core Mainframe Mod - Renewal - Run Rate - FY27-Q3","Toyota Motor Sales, U.S.A., Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","South Central 2","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","0.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Rejected","1/29/2026","11/2/2025"
"A-0645032","Toyota Motor Sales, U.S.A., Inc. 24MM, TMNA - Cube Data Core Mainframe Mod - Renewal - Run Rate - FY27-Q4","Toyota Motor Sales, U.S.A., Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","South Central 2","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","0.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Rejected","2/2/2026","2/2/2026"
"A-0650435","Cognizant Technology Solutions (Formerly known as Trizetto Corporation) trizetto - Renewal 2025 - Run Rate - FY27-Q4","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","35.00","Strategic","1/31/2027","Q4-2027","Elastic Forecast","Approved","2/2/2026","2/2/2026"
"A-0647765","SnapLogic - Atlas Migration - Renewal 2026 - Run Rate - FY27-Q4","SnapLogic","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 2","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","0.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Rejected","2/2/2026","2/2/2026"
"A-0714504","AT&T Inc. Nimbus - Renewal","AT&T Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","South Central 2","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","35.00","Strategic","5/31/2026","Q2-2027","Research","Pending Approval","3/25/2026","8/5/2025"
"A-0714506","AT&T Inc. Nimbus - Renewal - Run Rate - FY27-Q2","AT&T Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","South Central 2","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Approved","3/25/2026","8/2/2025"
"A-0640580","F. Hoffmann-La Roche AG Roche Global - Renewal - Run Rate - FY27-Q1","F. Hoffmann-La Roche AG","USD","0.00","USD","-2673.43","USD","0.00","EMEA","DACH II","Cognizant Technology Solutions India Pvt. Ltd.","0.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Rejected","1/29/2026","5/2/2025"
"A-0640581","F. Hoffmann-La Roche AG - Atlas - Renewal - 11/30/2025","F. Hoffmann-La Roche AG","USD","0.00","USD","0.00","USD","0.00","EMEA","DACH II","Cognizant Technology Solutions India Pvt. Ltd.","0.00","Influencing","4/30/2026","Q1-2027","Negotiate","Rejected","1/29/2026","5/8/2024"
"A-0522476","Chubb INA Holdings Inc Speed 2 Market App - Renewal - Run Rate - FY27-Q1","Chubb INA Holdings Inc","USD","0.00","USD","217064.60","USD","0.00","NAMER","East III","Cognizant Technology Solutions Ltd.","0.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Rejected","5/2/2025","5/2/2025"
"A-0563182","Oxford University Press Ltd. Leadning Locker - Renewal - Run Rate - FY27-Q2","Oxford University Press Ltd.","USD","0.00","USD","0.00","USD","0.00","EMEA","UK&I II","Cognizant Technology Solutions Ltd.","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0562474","Chubb INA Holdings Inc Speed 2 Market App - Renewal - Run Rate - FY27-Q2","Chubb INA Holdings Inc","USD","0.00","USD","0.00","USD","0.00","NAMER","East III","Cognizant Technology Solutions Ltd.","0.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Rejected","8/2/2025","8/2/2025"
"A-0575926","CoreLogic Solutions, LLC CoreLogic - Global Gateway Transformation - Renewal","CoreLogic Solutions, LLC","USD","0.00","USD","0.00","USD","0.00","NAMER","South Central 1","Cognizant Technology Solutions Ltd.","15.00","Influencing","6/18/2026","Q2-2027","Research","Pending Approval","8/5/2025","8/5/2025"
"A-0608644","Oxford University Press Ltd. Leadning Locker - Renewal - Run Rate - FY27-Q3","Oxford University Press Ltd.","USD","0.00","USD","0.00","USD","0.00","EMEA","UK&I II","Cognizant Technology Solutions Ltd.","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0621378","Oxford University Press Ltd. Leadning Locker - Renewal","Oxford University Press Ltd.","USD","0.00","USD","0.00","USD","0.00","EMEA","UK&I II","Cognizant Technology Solutions Ltd.","15.00","Influencing","8/31/2026","Q3-2027","Research","Pending Approval","11/3/2025","11/3/2025"
"A-0628502","Chubb INA Holdings Inc Speed 2 Market App - Renewal - Run Rate - FY27-Q2","Chubb INA Holdings Inc","USD","0.00","USD","0.00","USD","0.00","NAMER","East III","Cognizant Technology Solutions Ltd.","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Approved","12/3/2025","8/2/2025"
"A-0628503","Chubb INA Holdings Inc Speed 2 Market App - Renewal - Run Rate - FY27-Q3","Chubb INA Holdings Inc","USD","0.00","USD","0.00","USD","0.00","NAMER","East III","Cognizant Technology Solutions Ltd.","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Approved","12/3/2025","11/2/2025"
"A-0648022","Chubb INA Holdings Inc Speed 2 Market App - Renewal - Run Rate - FY27-Q4","Chubb INA Holdings Inc","USD","0.00","USD","0.00","USD","0.00","NAMER","East III","Cognizant Technology Solutions Ltd.","15.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Approved","2/2/2026","2/2/2026"
"A-0701186","Stellarus, LLC EA renewal - Renewal","Stellarus, LLC","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 1","Cognizant Technology Solutions Ltd.","35.00","Strategic","12/21/2026","Q4-2027","Research","Pending Approval","2/4/2026","2/4/2026"
"A-0702178","Chubb INA Holdings Inc Speed 2 Market App - Renewal","Chubb INA Holdings Inc","USD","0.00","USD","0.00","USD","0.00","NAMER","East III","Cognizant Technology Solutions Ltd.","15.00","Influencing","1/31/2027","Q4-2027","Research","Pending Approval","2/4/2026","2/4/2026"
"A-0702149","Alight Solutions LLC Alight/A4G/CLZ - Renewal","Alight Solutions LLC","USD","0.00","USD","0.00","USD","0.00","NAMER","Central","Cognizant Technology Solutions Ltd.","35.00","Strategic","1/31/2027","Q4-2027","Research","Pending Approval","2/4/2026","2/4/2026"
"A-0018107","Savvas - Assignments Domain Postgres Replace","Savvas Learning Company LLC","USD","0.00","USD","0.00","USD","0.00","Americas","Americas","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","5/31/2026","Q2-2027","Scope","Approved","2/17/2023","10/18/2022"
"A-0139892","The Bank of New York Mellon Corporation Multiple Projects - Renewal","The Bank of New York Mellon Corporation","USD","0.00","USD","0.00","USD","0.00","NAMER","East II","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","7/26/2026","Q2-2027","Research","Pending Approval","8/3/2023","8/3/2023"
"A-0257049","Humana Inc. Humana - Database Services - IT - Renewal","Humana Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","Southeast","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","12/30/2026","Q4-2027","Research","Pending Approval","2/4/2024","2/4/2024"
"A-0426228","TriZetto - Cognizant Clinical Systems Connector (CCSC) 2","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Cognizant Technology Solutions U.S. Corporation","35.00","Strategic","2/13/2026","Q1-2027","Closed Lost","Approved","12/13/2024","12/10/2024"
"A-0430276","AMEX | Digital Banking Platform | Migrate","American Express","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Cognizant Technology Solutions U.S. Corporation","0.00","Strategic","2/13/2026","Q1-2027","Closed Lost","Rejected","1/11/2025","10/28/2024"
"A-0430278","AMEX | Atlas CDM 2.0 | Metadata Management","American Express","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Cognizant Technology Solutions U.S. Corporation","0.00","Strategic","2/13/2026","Q1-2027","Closed Lost","Rejected","1/11/2025","11/19/2024"
"A-0475019","Humana Inc. Humana - MongoDB Atlas Platinum - Renewal","Humana Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","Southeast","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","11/30/2026","Q4-2027","Research","Pending Approval","2/13/2025","2/4/2024"
"A-0475325","The Travelers Indemnity Company BI-Atlas - Renewal","The Travelers Indemnity Company","USD","0.00","USD","0.00","USD","0.00","NAMER","New England","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","10/31/2026","Q3-2027","Research","Pending Approval","2/13/2025","11/6/2023"
"A-0505857","[NWL] EA - DoS AIDA2 Project Metadata Store | NL","Singapore Department of Statistics","USD","0.00","USD","0.00","USD","0.00","APAC","ASEAN 2","Cognizant Technology Solutions U.S. Corporation","35.00","Strategic","3/9/2026","Q1-2027","Closed Lost","Approved","3/25/2025","3/24/2025"
"A-0535959","Pearson Education, Inc. BiteSize, Cybersec & Fraud - Renewal","Pearson Education, Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","East III","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","4/30/2026","Q1-2027","Research","Pending Approval","5/7/2025","5/7/2025"
"A-0536151","World Wrestling Entertainment, Inc. WWE - Real Time Event Threat Analysis - Renewal","World Wrestling Entertainment, Inc.","USD","0.00","USD","0.00","USD","0.00","Americas","NAMER","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","5/31/2026","Q2-2027","Research","Pending Approval","5/7/2025","5/7/2025"
"A-0549477","Cognizant Technology Solutions (Formerly known as Trizetto Corporation) trizetto - Renewal 2025 - Run Rate - FY27-Q1","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","USD","0.00","USD","-224682.15","USD","0.00","NAMER","SoCal","Cognizant Technology Solutions U.S. Corporation","0.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Rejected","7/8/2025","7/8/2025"
"A-0564748","Cognizant Technology Solutions (Formerly known as Trizetto Corporation) trizetto - Renewal 2025 - Run Rate - FY27-Q2","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Cognizant Technology Solutions U.S. Corporation","0.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Rejected","8/2/2025","8/2/2025"
"A-0563662","Greenway Health, LLC Greenway Health, LLC - Patient Portal - VisionWare - Renewal - Run Rate - FY27-Q2","Greenway Health, LLC","USD","0.00","USD","0.00","USD","0.00","Americas","Americas","Cognizant Technology Solutions U.S. Corporation","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0562606","Direct Line Insurance Group PLC Direct Line Insurance - Quote Store - Renewal - Run Rate - FY27-Q2","Direct Line Insurance Group PLC","USD","0.00","USD","0.00","USD","0.00","EMEA","UK&I II","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0562640","Humana_Atlas Platinum Renewal - Run Rate - FY27-Q2","Humana Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","Southeast","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0562237","World Wrestling Entertainment, Inc. WWE - Real Time Event Threat Analysis - Renewal - Run Rate - FY27-Q2","World Wrestling Entertainment, Inc.","USD","0.00","USD","0.00","USD","0.00","Americas","NAMER","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0562377","Kohl's Inc Kohl's Merchandising & Marketing Applications - Renewal - Run Rate - FY27-Q2","Kohl's Inc","USD","0.00","USD","0.00","USD","0.00","NAMER","Central","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0562758","The Travelers Indemnity Company BI-Atlas- Renewal Yr 4 - Run Rate - FY27-Q2","The Travelers Indemnity Company","USD","0.00","USD","0.00","USD","0.00","NAMER","New England","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0574823","Direct Line Insurance Group PLC Quote Store renewal","Direct Line Insurance Group PLC","USD","0.00","USD","0.00","USD","0.00","EMEA","UK&I II","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","5/31/2026","Q2-2027","Research","Pending Approval","8/5/2025","8/5/2025"
"A-0575785","ServiceNow Inc Internal Mobile Analytics Platform - Renewal","ServiceNow Inc","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 2","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","7/11/2026","Q2-2027","Research","Pending Approval","8/5/2025","8/5/2025"
"A-0609169","Greenway Health, LLC Greenway Health, LLC - Patient Portal - VisionWare - Renewal - Run Rate - FY27-Q3","Greenway Health, LLC","USD","0.00","USD","0.00","USD","0.00","Americas","Americas","Cognizant Technology Solutions U.S. Corporation","35.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0607806","Kohl's Inc Kohl's Merchandising & Marketing Applications - Renewal - Run Rate - FY27-Q3","Kohl's Inc","USD","0.00","USD","0.00","USD","0.00","NAMER","Central","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0608181","The Travelers Indemnity Company BI-Atlas- Renewal Yr 4 - Run Rate - FY27-Q3","The Travelers Indemnity Company","USD","0.00","USD","0.00","USD","0.00","NAMER","New England","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0610328","Cognizant Technology Solutions (Formerly known as Trizetto Corporation) trizetto - Renewal 2025 - Run Rate - FY27-Q3","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","Cognizant Technology Solutions U.S. Corporation","0.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Rejected","11/2/2025","11/2/2025"
"A-0608068","Humana_Atlas Platinum Renewal - Run Rate - FY27-Q3","Humana Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","Southeast","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0622457","Greenway Health, LLC Greenway Health, LLC - Patient Portal - VisionWare - Renewal","Greenway Health, LLC","USD","0.00","USD","0.00","USD","0.00","Americas","Americas","Cognizant Technology Solutions U.S. Corporation","35.00","Strategic","10/31/2026","Q3-2027","Research","Pending Approval","11/4/2025","11/4/2025"
"A-0648186","Humana_Atlas Platinum Renewal - Run Rate - FY27-Q4","Humana Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","Southeast","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Approved","2/2/2026","2/2/2026"
"A-0647930","Kohl's Inc Kohl's Merchandising & Marketing Applications - Renewal - Run Rate - FY27-Q4","Kohl's Inc","USD","0.00","USD","0.00","USD","0.00","NAMER","Central","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Approved","2/2/2026","2/2/2026"
"A-0701229","Stellarus, LLC EA renewal - Renewal","Stellarus, LLC","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 1","Cognizant Technology Solutions U.S. Corporation","20.00","Influencing","12/21/2026","Q4-2027","Research","Pending Approval","2/4/2026","2/4/2026"
"A-0701144","Telstra Limited. CDTC - Renewal","Telstra Limited.","USD","0.00","USD","0.00","USD","0.00","APAC","ANZ","Cognizant Technology Solutions U.S. Corporation","35.00","Strategic","12/14/2026","Q4-2027","Research","Pending Approval","2/4/2026","2/4/2026"
"A-0701934","Walmart Inc. Featurespace Expansion (EA) - Renewal","Walmart Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","South Central 1","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","1/31/2027","Q4-2027","Research","Pending Approval","2/4/2026","2/4/2026"
"A-0520989","KOOTORO VIET NAM COMPANY LIMITED Toro Taxi - Renewal - Run Rate - FY27-Q1","KOOTORO VIET NAM COMPANY LIMITED","USD","0.00","USD","0.00","USD","0.00","APAC","India & ASEAN","ECLOUDVALLEY DIGITAL TECHNOLOGY CO LTD","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0561010","KOOTORO VIET NAM COMPANY LIMITED Toro Taxi - Renewal - Run Rate - FY27-Q2","KOOTORO VIET NAM COMPANY LIMITED","USD","0.00","USD","0.00","USD","0.00","APAC","India & ASEAN","ECLOUDVALLEY DIGITAL TECHNOLOGY CO LTD","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0606377","KOOTORO VIET NAM COMPANY LIMITED Toro Taxi - Renewal - Run Rate - FY27-Q3","KOOTORO VIET NAM COMPANY LIMITED","USD","0.00","USD","0.00","USD","0.00","APAC","India & ASEAN","ECLOUDVALLEY DIGITAL TECHNOLOGY CO LTD","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0646554","KOOTORO VIET NAM COMPANY LIMITED Toro Taxi - Renewal - Run Rate - FY27-Q4","KOOTORO VIET NAM COMPANY LIMITED","USD","0.00","USD","0.00","USD","0.00","APAC","India & ASEAN","ECLOUDVALLEY DIGITAL TECHNOLOGY CO LTD","15.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Approved","2/2/2026","2/2/2026"
"A-0595348","Palawan Pay | Atlas | AWS | Buy & Load Private Offer - Run Rate - FY27-Q2","PPS-PEPP Financial Services Corporation (Palawan Pay)","USD","0.00","USD","0.00","USD","0.00","APAC","ASEAN 1","eCloudvalley Technology (Philippines) Inc.","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Approved","10/11/2025","10/11/2025"
"A-0606323","Palawan Pay | Atlas | AWS | Buy & Load Private Offer - Run Rate - FY27-Q3","PPS-PEPP Financial Services Corporation (Palawan Pay)","USD","0.00","USD","0.00","USD","0.00","APAC","ASEAN 1","eCloudvalley Technology (Philippines) Inc.","35.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Approved","11/2/2025","11/2/2025"
"A-0646501","Palawan Pay | Atlas | AWS | Buy & Load Private Offer - Run Rate - FY27-Q4","PPS-PEPP Financial Services Corporation (Palawan Pay)","USD","0.00","USD","0.00","USD","0.00","APAC","ASEAN 1","eCloudvalley Technology (Philippines) Inc.","35.00","Strategic","1/31/2027","Q4-2027","Elastic Forecast","Approved","2/2/2026","2/2/2026"
"A-0521743","Anhsin Technology Sdn Bhd Anh-Nyn - Renewal - Run Rate - FY27-Q1","Anhsin Technology Sdn Bhd","USD","0.00","USD","0.00","USD","0.00","APAC","APAC CG","ECLOUDVALLEY TECHNOLOGY PTE. LTD.","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0521970","Vela Ventures Inc - Atlas contract opp - Run Rate - FY27-Q1","Vela Ventures Inc","USD","0.00","USD","0.00","USD","0.00","APAC","APAC CG","ECLOUDVALLEY TECHNOLOGY PTE. LTD.","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0521621","Gilas Gaming - Atlas Contract Opp - Run Rate - FY27-Q1","Gilas Gaming","USD","0.00","USD","42.42","USD","0.00","APAC","APAC CG","ECLOUDVALLEY TECHNOLOGY PTE. LTD.","0.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Rejected","5/2/2025","5/2/2025"
"A-0525296","Yosemite Philippines - Atlas contract opp - Run Rate - FY27-Q1","Yosemite Philippines","USD","0.00","USD","0.00","USD","0.00","APAC","India & ASEAN","ECLOUDVALLEY TECHNOLOGY PTE. LTD.","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0561737","Anhsin Technology Sdn Bhd Anh-Nyn - Renewal - Run Rate - FY27-Q2","Anhsin Technology Sdn Bhd","USD","0.00","USD","0.00","USD","0.00","APAC","APAC CG","ECLOUDVALLEY TECHNOLOGY PTE. LTD.","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0561979","Vela Ventures Inc - Atlas contract opp - Run Rate - FY27-Q2","Vela Ventures Inc","USD","0.00","USD","0.00","USD","0.00","APAC","APAC CG","ECLOUDVALLEY TECHNOLOGY PTE. LTD.","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0565338","Yosemite Philippines - Atlas contract opp - Run Rate - FY27-Q2","Yosemite Philippines","USD","0.00","USD","0.00","USD","0.00","APAC","India & ASEAN","ECLOUDVALLEY TECHNOLOGY PTE. LTD.","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
"A-0561614","Gilas Gaming - Atlas Contract Opp - Run Rate - FY27-Q2","Gilas Gaming","USD","0.00","USD","0.00","USD","0.00","APAC","APAC CG","ECLOUDVALLEY TECHNOLOGY PTE. LTD.","0.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Rejected","8/2/2025","8/2/2025"
"A-0561670","AWS (MP) Private - VNPass - Run Rate - FY27-Q2","Cong Ty Co Phan VNPASS","USD","0.00","USD","0.00","USD","0.00","APAC","APAC CG","ECLOUDVALLEY TECHNOLOGY PTE. LTD.","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Approved","8/2/2025","8/2/2025"
